1,0,42,-79,1156,3697,-4869,11,30,-56,1148,3763,-4915,2,0,0,0,0
2,625,30.999999999999996,-75,236,4252,-4514,8,20,-52,191,4361,-4554,0,0,0,0,0
3,1250,10,-57.99999999999999,-770,4697,-3965,6,4,-38,-790,4802,-4004.9999999999995,7,0,0,0,0
4,1875,-11,-46,-1798,4996,-3242,3,-6,-35,-1819,5090,-3254,12,0,0,0,0
5,2500,-25,-43,-2747,4995,-2300,0,-17,-34,-2772,5124,-2330,17,0,0,0,0
6,3125,-32,-42,-3510,4877,-1420,-2,-25,-30.999999999999996,-3541,4993,-1425,18,0,0,0,0
7,3750,-40,-34,-4133,4610,-530,-4,-32,-25,-4179,4727,-516,19,0,0,0,0
8,4375,-44,-17,-4635,4119,460,-7,-34,-10,-4667,4216,485.00000000000006,20,0,0,0,0
9,5000,-54,6,-4992,3473,1464,-10,-39,4,-5019,3535,1515,19,0,0,0,0
10,5625,-66,20,-5069,2571,2445,-13,-50,14,-5119,2660,2490,19,0,0,0,0
11,6250,-72,30,-4990,1689,3251,-15,-55,24,-5030,1744,3308,13,0,0,0,0
12,6875,-77,38,-4804,833,3926.9999999999995,-17,-55,30,-4814,861,3970.9999999999995,7,0,0,0,0
13,7500,-68,43,-4370,-136,4470,-18,-49,32,-4368,-139,4519,7,0,0,0,0
14,8125,-47,53,-3770,-1121,4868,-18,-35,36,-3769,-1154,4934,4,0,0,0,0
15,8750,-45,63,-2929,-2141,5060,-19,-34,45,-2943,-2179,5130,5,0,0,0,0
16,9375,-44,72,-2003.9999999999998,-3007,5015,-14,-32,55.00000000000001,-2024.9999999999998,-3061,5092,3,0,0,0,0
17,10000,-41,79,-1161,-3693,4872,-11,-28,59.00000000000001,-1155,-3761,4918,0,0,0,0,0
18,10625,-30.000000000000004,74,-244,-4245,4514,-9,-20,56,-206,-4357,4559,-4,0,0,0,0
19,11250,-8,56.99999999999999,755,-4690,3973,-5,0,38,768,-4792,4012.9999999999995,-8,0,0,0,0
20,11875,13,48,1792,-4993,3247,-2,7,38,1817,-5087,3253,-13,0,0,0,0
21,12500,27,45,2745,-4997,2304,1,18,37,2766,-5130,2339,-17,0,0,0,0
